DOY,forc_st,forc_npp,forc_sw
293,12.745635910224438,2.11832329667482,0.305
294,12.661046906866078,2.04997111398189,0.302
295,12.800407793384684,1.98161893128896,0.3
296,13.162347077480742,1.91326674859603,0.304
297,13.846469920544836,1.8449145659031,0.318
298,14.39012064648304,1.82807417306571,0.315
299,14.78974358974359,1.81123378022832,0.324
300,14.587732426303855,1.79439338739093,0.322
301,13.854149659863946,1.77755299455355,0.319
302,13.675533848250796,1.76071260171616,0.317
303,13.138604440416856,1.74387220887877,0.316
304,13.54546279491833,1.72703181604138,0.317
305,14.40861482656994,1.71019142320399,0.327
306,14.56155414589941,1.61647959012064,0.324
307,14.282914117380466,1.52276775703729,0.323
308,14.292508513053347,1.42905592395394,0.322
309,14.824960326456583,1.33534409087059,0.321
310,15.502540258562032,1.24163225778723,0.32
311,15.907202718006795,1.14792042470388,0.319
312,14.938456299659478,1.05420859162053,0.319
313,13.758894176297304,0.960496758537181,0.319
314,13.473634096576738,0.916513614891295,0.318
315,14.360544217687076,0.87253047124541006,0.333
316,15.32037667347402,0.828547327599524,0.342
317,14.433007723761929,0.784564183953638,0.34
318,12.781873865698731,0.740581040307752,0.339
319,11.73918367346939,0.696597896661866,0.348
320,11.320671658724759,0.652614753015981,0.362
321,10.984753058450384,0.608631609370095,0.351
322,10.25182581084146,0.605461653071292,0.347
323,9.906406179009544,0.60229169677249,0.345
324,9.249102884397002,0.599121740473687,0.344
325,8.485847130868677,0.595951784174884,0.344
326,8.496355759429155,0.592781827876082,0.345
327,8.63781760435572,0.589611871577279,0.342
328,8.746337579617832,0.586441915278477,0.342
329,9.23723621511232,0.583271958979674,0.343
330,9.33987255348202,0.564054098918183,0.344
331,9.566251133272894,0.544836238856693,0.356
332,10.152189698207396,0.525618378795202,0.359
333,9.848486916951078,0.506400518733712,0.353
334,10.005175936435869,0.487182658672221,0.361
335,9.416137085792103,0.46796479861073,0.359
336,8.616772582841582,0.44874693854924,0.355
337,9.29687216681777,0.429529078487749,0.369
338,9.322759246653051,0.414471786068437,0.365
339,8.426814882032668,0.399414493649125,0.358
340,8.41228149829739,0.384357201229812,0.368
341,9.32992286751361,0.3692999088105,0.377
342,9.988914078440262,0.354242616391188,0.366
343,9.54288964732651,0.339185323971876,0.36
344,8.588929302114117,0.324128031552563,0.357
345,8.678743194192375,0.309070739133251,0.355
346,8.57569223785747,0.280937376981378,0.354
347,8.154244212437584,0.252804014829506,0.354
348,7.379632569743705,0.224670652677633,0.353
349,7.0234906945074895,0.19653729052576,0.398
350,7.664057181756298,0.168403928373887,0.396
351,7.455613517804491,0.140270566222014,0.378
352,7.26468586981175,0.112137204070141,0.37
353,6.6444066258225565,0.0840038419182683,0.365
354,6.181828519445077,0.0945043221580518,0.362
355,5.863481615978214,0.105004802397835,0.36
356,5.961279307989986,0.115505282637619,0.38
357,6.884829157175399,0.126005762877402,0.401
358,5.038960744270481,0.136506243117186,0.381
359,4.043673469387753,0.14700672335697,0.371
360,3.7186067619695926,0.157507203596753,0.367
361,3.862837072286423,0.168007683836537,0.364
362,3.969956788719582,0.168007683836537,0.363
363,4.23097566522629,0.168007683836537,0.362
364,4.588916647740177,0.168007683836537,0.361
365,5.356550618415024,0.168007683836537,0.368
